successful_update,pair_indices,pair_keys
2216,234;147;131;69;47;238;170;8,study02/study02_p18:target_t10_400:source_t12_0;study02/study02_p14:target_t15_0:source_t13_400;study02/study02_p13:target_t11_400:source_t12_400;study02/study02_p10:target_t2_400:source_t15_800;study02/study02_p09:target_t5_400:source_t3_800;study02/study02_p18:target_t16_1200:source_t13_0;study02/study02_p15:target_t17_0:source_t6_1200;study02/study02_p07:target_t6_1200:source_t4_800
2217,114;228;30;118;108;117;37;145,study02/study02_p12:target_t10_1200:source_t4_0;study02/study02_p17:target_t23_800:source_t2_1200;study02/study02_p08:target_t8_400:source_t14_800;study02/study02_p12:target_t14_1200:source_t11_0;study02/study02_p12:target_t6_800:source_t1_800;study02/study02_p12:target_t14_800:source_t4_1200;study02/study02_p08:target_t16_0:source_t17_800;study02/study02_p14:target_t10_800:source_t11_400
2218,94;45;88;43;60;202;100;153,study02/study02_p11:target_t11_800:source_t2_400;study02/study02_p09:target_t4_800:source_t3_0;study02/study02_p11:target_t7_400:source_t20_1200;study02/study02_p09:target_t4_0:source_t1_800;study02/study02_p09:target_t21_0:source_t11_1200;study02/study02_p17:target_t0_800:source_t15_0;study02/study02_p11:target_t21_800:source_t4_0;study02/study02_p15:target_t3_800:source_t0_800
2219,193;7;185;158;78;107;233;109,study02/study02_p16:target_t18_1200:source_t8_1200;study02/study02_p07:target_t6_800:source_t4_400;study02/study02_p16:target_t11_1200:source_t5_800;study02/study02_p15:target_t9_0:source_t1_1200;study02/study02_p10:target_t14_0:source_t18_1200;study02/study02_p12:target_t6_0:source_t1_400;study02/study02_p18:target_t10_0:source_t11_1200;study02/study02_p12:target_t7_400:source_t1_1200
2220,13;82;198;11;142;167;29;122,study02/study02_p07:target_t20_800:source_t7_800;study02/study02_p10:target_t19_400:source_t21_0;study02/study02_p16:target_t23_0:source_t14_0;study02/study02_p07:target_t16_1200:source_t5_1200;study02/study02_p14:target_t5_800:source_t6_800;study02/study02_p15:target_t16_0:source_t6_0;study02/study02_p08:target_t8_0:source_t14_400;study02/study02_p12:target_t19_400:source_t12_0
2221,222;223;152;221;77;98;173;141,study02/study02_p17:target_t20_0:source_t25_800;study02/study02_p17:target_t20_400:source_t25_1200;study02/study02_p14:target_t22_0:source_t14_800;study02/study02_p17:target_t18_1200:source_t25_400;study02/study02_p10:target_t11_400:source_t18_400;study02/study02_p11:target_t21_0:source_t3_800;study02/study02_p15:target_t22_400:source_t12_800;study02/study02_p14:target_t5_400:source_t6_400
2222,95;68;208;146;216;48;140;3,study02/study02_p11:target_t11_1200:source_t2_800;study02/study02_p10:target_t2_0:source_t13_800;study02/study02_p17:target_t7_1200:source_t19_1200;study02/study02_p14:target_t12_0:source_t13_0;study02/study02_p17:target_t16_0:source_t22_1200;study02/study02_p09:target_t5_800:source_t3_1200;study02/study02_p14:target_t5_0:source_t3_1200;study02/study02_p07:target_t2_800:source_t3_400
2223,184;154;130;217;201;144;80;20,study02/study02_p16:target_t11_800:source_t5_400;study02/study02_p15:target_t3_1200:source_t0_1200;study02/study02_p13:target_t11_0:source_t12_0;study02/study02_p17:target_t16_800:source_t24_0;study02/study02_p17:target_t0_400:source_t14_1200;study02/study02_p14:target_t10_400:source_t8_800;study02/study02_p10:target_t14_800:source_t20_400;study02/study02_p08:target_t0_0:source_t12_0
2224,46;1;200;36;213;51;119;197,study02/study02_p09:target_t5_0:source_t3_400;study02/study02_p07:target_t1_1200:source_t25_800;study02/study02_p17:target_t0_0:source_t14_800;study02/study02_p08:target_t11_1200:source_t17_400;study02/study02_p17:target_t13_400:source_t22_0;study02/study02_p09:target_t7_1200:source_t6_800;study02/study02_p12:target_t18_0:source_t11_400;study02/study02_p16:target_t20_1200:source_t10_800
2225,79;31;150;111;96;227;211;102,study02/study02_p10:target_t14_400:source_t20_0;study02/study02_p08:target_t8_800:source_t14_1200;study02/study02_p14:target_t19_400:source_t14_0;study02/study02_p12:target_t9_400:source_t3_400;study02/study02_p11:target_t14_800:source_t2_1200;study02/study02_p17:target_t23_400:source_t2_800;study02/study02_p17:target_t9_1200:source_t21_800;study02/study02_p11:target_t22_0:source_t4_800
2226,212;105;237;192;64;166;22;24,study02/study02_p17:target_t13_0:source_t21_1200;study02/study02_p12:target_t2_800:source_t0_400;study02/study02_p18:target_t16_800:source_t12_1200;study02/study02_p16:target_t18_800:source_t8_800;study02/study02_p09:target_t22_0:source_t13_1200;study02/study02_p15:target_t14_800:source_t5_1200;study02/study02_p08:target_t0_800:source_t12_800;study02/study02_p08:target_t2_0:source_t13_0
2227,53;2;179;180;110;168;151;226,study02/study02_p09:target_t15_400:source_t8_0;study02/study02_p07:target_t2_0:source_t3_0;study02/study02_p16:target_t4_400:source_t3_0;study02/study02_p16:target_t4_800:source_t3_400;study02/study02_p12:target_t9_0:source_t3_0;study02/study02_p15:target_t16_400:source_t6_400;study02/study02_p14:target_t19_1200:source_t14_400;study02/study02_p17:target_t23_0:source_t2_400
2228,115;5;133;195;113;159;52;209,study02/study02_p12:target_t14_0:source_t4_400;study02/study02_p07:target_t6_0:source_t3_1200;study02/study02_p13:target_t13_800:source_t12_1200;study02/study02_p16:target_t20_400:source_t10_0;study02/study02_p12:target_t9_1200:source_t3_1200;study02/study02_p15:target_t9_400:source_t4_0;study02/study02_p09:target_t15_0:source_t6_1200;study02/study02_p17:target_t9_0:source_t21_0
2229,91;65;71;63;134;162;6;99,study02/study02_p11:target_t8_800:source_t0_800;study02/study02_p09:target_t22_1200:source_t14_0;study02/study02_p10:target_t3_0:source_t16_800;study02/study02_p09:target_t21_1200:source_t13_800;study02/study02_p13:target_t15_800:source_t14_0;study02/study02_p15:target_t10_0:source_t4_1200;study02/study02_p07:target_t6_400:source_t4_0;study02/study02_p11:target_t21_400:source_t3_1200
2230,81;40;188;39;84;163;187;58,study02/study02_p10:target_t19_0:source_t20_1200;study02/study02_p09:target_t2_400:source_t0_1200;study02/study02_p16:target_t15_800:source_t7_800;study02/study02_p09:target_t2_0:source_t0_800;study02/study02_p10:target_t19_1200:source_t21_800;study02/study02_p15:target_t10_800:source_t5_0;study02/study02_p16:target_t15_400:source_t7_400;study02/study02_p09:target_t19_800:source_t11_400
2231,62;112;27;235;90;136;240;35,study02/study02_p09:target_t21_800:source_t13_400;study02/study02_p12:target_t9_800:source_t3_800;study02/study02_p08:target_t7_400:source_t13_1200;study02/study02_p18:target_t10_800:source_t12_400;study02/study02_p11:target_t8_0:source_t0_400;study02/study02_p14:target_t1_800:source_t2_0;study02/study02_p18:target_t20_800:source_t13_800;study02/study02_p08:target_t11_400:source_t17_0
2232,103,study02/study02_p11:target_t22_400:source_t4_1200
2233,200;85;222;26;82;67;35;20,study02/study02_p17:target_t0_0:source_t14_800;study02/study02_p11:target_t1_0:source_t20_0;study02/study02_p17:target_t20_0:source_t25_800;study02/study02_p08:target_t7_0:source_t13_800;study02/study02_p10:target_t19_400:source_t21_0;study02/study02_p09:target_t24_1200:source_t14_800;study02/study02_p08:target_t11_400:source_t17_0;study02/study02_p08:target_t0_0:source_t12_0
2234,10;174;142;93;201;171;230;145,study02/study02_p07:target_t16_800:source_t5_800;study02/study02_p16:target_t0_0:source_t1_1200;study02/study02_p14:target_t5_800:source_t6_800;study02/study02_p11:target_t11_0:source_t2_0;study02/study02_p17:target_t0_400:source_t14_1200;study02/study02_p15:target_t17_400:source_t12_0;study02/study02_p18:target_t0_800:source_t11_0;study02/study02_p14:target_t10_800:source_t11_400
2235,227;112;102;4;220;0;183;120,study02/study02_p17:target_t23_400:source_t2_800;study02/study02_p12:target_t9_800:source_t3_800;study02/study02_p11:target_t22_0:source_t4_800;study02/study02_p07:target_t2_1200:source_t3_800;study02/study02_p17:target_t18_400:source_t24_1200;study02/study02_p07:target_t1_0:source_t25_400;study02/study02_p16:target_t11_400:source_t5_0;study02/study02_p12:target_t18_1200:source_t11_800
2236,46;14;91;38;50;195;208;234,study02/study02_p09:target_t5_0:source_t3_400;study02/study02_p07:target_t20_1200:source_t9_0;study02/study02_p11:target_t8_800:source_t0_800;study02/study02_p08:target_t16_400:source_t17_1200;study02/study02_p09:target_t7_800:source_t6_400;study02/study02_p16:target_t20_400:source_t10_0;study02/study02_p17:target_t7_1200:source_t19_1200;study02/study02_p18:target_t10_400:source_t12_0
2237,84;78;193;61;29;186;52;204,study02/study02_p10:target_t19_1200:source_t21_800;study02/study02_p10:target_t14_0:source_t18_1200;study02/study02_p16:target_t18_1200:source_t8_1200;study02/study02_p09:target_t21_400:source_t13_0;study02/study02_p08:target_t8_0:source_t14_400;study02/study02_p16:target_t15_0:source_t7_0;study02/study02_p09:target_t15_0:source_t6_1200;study02/study02_p17:target_t5_1200:source_t15_800
2238,192;147;146;118;150;173;225;8,study02/study02_p16:target_t18_800:source_t8_800;study02/study02_p14:target_t15_0:source_t13_400;study02/study02_p14:target_t12_0:source_t13_0;study02/study02_p12:target_t14_1200:source_t11_0;study02/study02_p14:target_t19_400:source_t14_0;study02/study02_p15:target_t22_400:source_t12_800;study02/study02_p17:target_t20_1200:source_t2_0;study02/study02_p07:target_t6_1200:source_t4_800
2239,57;103;98;184;96;237;53;5,study02/study02_p09:target_t19_400:source_t11_0;study02/study02_p11:target_t22_400:source_t4_1200;study02/study02_p11:target_t21_0:source_t3_800;study02/study02_p16:target_t11_800:source_t5_400;study02/study02_p11:target_t14_800:source_t2_1200;study02/study02_p18:target_t16_800:source_t12_1200;study02/study02_p09:target_t15_400:source_t8_0;study02/study02_p07:target_t6_0:source_t3_1200
2240,70;156;106;191;152;132;115;122,study02/study02_p10:target_t2_800:source_t15_1200;study02/study02_p15:target_t7_400:source_t1_400;study02/study02_p12:target_t2_1200:source_t0_800;study02/study02_p16:target_t18_400:source_t8_400;study02/study02_p14:target_t22_0:source_t14_800;study02/study02_p13:target_t11_800:source_t12_800;study02/study02_p12:target_t14_0:source_t4_400;study02/study02_p12:target_t19_400:source_t12_0
2241,39;107;62;126;209;75;163;92,study02/study02_p09:target_t2_0:source_t0_800;study02/study02_p12:target_t6_0:source_t1_400;study02/study02_p09:target_t21_800:source_t13_400;study02/study02_p13:target_t6_800:source_t9_0;study02/study02_p17:target_t9_0:source_t21_0;study02/study02_p10:target_t10_400:source_t17_1200;study02/study02_p15:target_t10_800:source_t5_0;study02/study02_p11:target_t8_1200:source_t0_1200
2242,212;144;158;231;49;71;131;228,study02/study02_p17:target_t13_0:source_t21_1200;study02/study02_p14:target_t10_400:source_t8_800;study02/study02_p15:target_t9_0:source_t1_1200;study02/study02_p18:target_t6_0:source_t11_400;study02/study02_p09:target_t5_1200:source_t6_0;study02/study02_p10:target_t3_0:source_t16_800;study02/study02_p13:target_t11_400:source_t12_400;study02/study02_p17:target_t23_800:source_t2_1200
2243,189;68;72;137;76;89;47;182,study02/study02_p16:target_t15_1200:source_t7_1200;study02/study02_p10:target_t2_0:source_t13_800;study02/study02_p10:target_t3_400:source_t16_1200;study02/study02_p14:target_t4_400:source_t2_800;study02/study02_p10:target_t11_0:source_t18_0;study02/study02_p11:target_t7_800:source_t0_0;study02/study02_p09:target_t5_400:source_t3_800;study02/study02_p16:target_t11_0:source_t3_1200
2244,188;179;133;239;170;109;203;176,study02/study02_p16:target_t15_800:source_t7_800;study02/study02_p16:target_t4_400:source_t3_0;study02/study02_p13:target_t13_800:source_t12_1200;study02/study02_p18:target_t20_0:source_t13_400;study02/study02_p15:target_t17_0:source_t6_1200;study02/study02_p12:target_t7_400:source_t1_1200;study02/study02_p17:target_t5_0:source_t15_400;study02/study02_p16:target_t0_800:source_t2_400
2245,165;197;162;63;180;11;113;235,study02/study02_p15:target_t14_400:source_t5_800;study02/study02_p16:target_t20_1200:source_t10_800;study02/study02_p15:target_t10_0:source_t4_1200;study02/study02_p09:target_t21_1200:source_t13_800;study02/study02_p16:target_t4_800:source_t3_400;study02/study02_p07:target_t16_1200:source_t5_1200;study02/study02_p12:target_t9_1200:source_t3_1200;study02/study02_p18:target_t10_800:source_t12_400
2246,12;199;121;64;36;151;17;129,study02/study02_p07:target_t19_0:source_t7_0;study02/study02_p16:target_t23_1200:source_t14_400;study02/study02_p12:target_t19_0:source_t11_1200;study02/study02_p09:target_t22_0:source_t13_1200;study02/study02_p08:target_t11_1200:source_t17_400;study02/study02_p14:target_t19_1200:source_t14_400;study02/study02_p07:target_t23_0:source_t9_1200;study02/study02_p13:target_t10_800:source_t9_1200
2247,32;45;177;154;105;196;81;218,study02/study02_p08:target_t9_0:source_t15_400;study02/study02_p09:target_t4_800:source_t3_0;study02/study02_p16:target_t0_1200:source_t2_800;study02/study02_p15:target_t3_1200:source_t0_1200;study02/study02_p12:target_t2_800:source_t0_400;study02/study02_p16:target_t20_800:source_t10_400;study02/study02_p10:target_t19_0:source_t20_1200;study02/study02_p17:target_t16_1200:source_t24_400
2248,117;74;65;141;140;54;83;44,study02/study02_p12:target_t14_800:source_t4_1200;study02/study02_p10:target_t10_0:source_t17_800;study02/study02_p09:target_t22_1200:source_t14_0;study02/study02_p14:target_t5_400:source_t6_400;study02/study02_p14:target_t5_0:source_t3_1200;study02/study02_p09:target_t15_800:source_t8_400;study02/study02_p10:target_t19_800:source_t21_400;study02/study02_p09:target_t4_400:source_t1_1200
2249,223;135;125;28;181;194;185;88,study02/study02_p17:target_t20_400:source_t25_1200;study02/study02_p14:target_t1_0:source_t0_800;study02/study02_p13:target_t6_400:source_t7_1200;study02/study02_p08:target_t7_800:source_t14_0;study02/study02_p16:target_t4_1200:source_t3_800;study02/study02_p16:target_t20_0:source_t9_0;study02/study02_p16:target_t11_1200:source_t5_800;study02/study02_p11:target_t7_400:source_t20_1200
2250,232;94;58;116;219;164;213;33,study02/study02_p18:target_t6_400:source_t11_800;study02/study02_p11:target_t11_800:source_t2_400;study02/study02_p09:target_t19_800:source_t11_400;study02/study02_p12:target_t14_400:source_t4_800;study02/study02_p17:target_t18_0:source_t24_800;study02/study02_p15:target_t14_0:source_t5_400;study02/study02_p17:target_t13_400:source_t22_0;study02/study02_p08:target_t9_800:source_t15_800
2251,3;134;55;110;23;148;108;77,study02/study02_p07:target_t2_800:source_t3_400;study02/study02_p13:target_t15_800:source_t14_0;study02/study02_p09:target_t15_1200:source_t8_800;study02/study02_p12:target_t9_0:source_t3_0;study02/study02_p08:target_t0_1200:source_t12_1200;study02/study02_p14:target_t15_400:source_t13_800;study02/study02_p12:target_t6_800:source_t1_800;study02/study02_p10:target_t11_400:source_t18_400
2252,24;30;159;178;214;22;130;224,study02/study02_p08:target_t2_0:source_t13_0;study02/study02_p08:target_t8_400:source_t14_800;study02/study02_p15:target_t9_400:source_t4_0;study02/study02_p16:target_t4_0:source_t2_1200;study02/study02_p17:target_t13_800:source_t22_400;study02/study02_p08:target_t0_800:source_t12_800;study02/study02_p13:target_t11_0:source_t12_0;study02/study02_p17:target_t20_800:source_t1_1200
2253,15;37;143;216;51;205;99;149,study02/study02_p07:target_t22_0:source_t9_400;study02/study02_p08:target_t16_0:source_t17_800;study02/study02_p14:target_t10_0:source_t8_400;study02/study02_p17:target_t16_0:source_t22_1200;study02/study02_p09:target_t7_1200:source_t6_800;study02/study02_p17:target_t7_0:source_t15_1200;study02/study02_p11:target_t21_400:source_t3_1200;study02/study02_p14:target_t15_800:source_t13_1200
2254,25;155;229;198;27;7;206;18,study02/study02_p08:target_t2_1200:source_t13_400;study02/study02_p15:target_t7_0:source_t1_0;study02/study02_p18:target_t0_400:source_t9_1200;study02/study02_p16:target_t23_0:source_t14_0;study02/study02_p08:target_t7_400:source_t13_1200;study02/study02_p07:target_t6_800:source_t4_400;study02/study02_p17:target_t7_400:source_t19_400;study02/study02_p07:target_t23_800:source_t10_0
2255,59;69;2;16;104;167;90;187,study02/study02_p09:target_t19_1200:source_t11_800;study02/study02_p10:target_t2_400:source_t15_800;study02/study02_p07:target_t2_0:source_t3_0;study02/study02_p07:target_t22_800:source_t9_800;study02/study02_p12:target_t2_0:source_t0_0;study02/study02_p15:target_t16_0:source_t6_0;study02/study02_p11:target_t8_0:source_t0_400;study02/study02_p16:target_t15_400:source_t7_400
2256,111;100;6;161;40;86;138;97,study02/study02_p12:target_t9_400:source_t3_400;study02/study02_p11:target_t21_800:source_t4_0;study02/study02_p07:target_t6_400:source_t4_0;study02/study02_p15:target_t9_1200:source_t4_800;study02/study02_p09:target_t2_400:source_t0_1200;study02/study02_p11:target_t1_400:source_t20_400;study02/study02_p14:target_t4_800:source_t3_400;study02/study02_p11:target_t14_1200:source_t3_400
2257,238;48;56;172;128;139;42;43,study02/study02_p18:target_t16_1200:source_t13_0;study02/study02_p09:target_t5_800:source_t3_1200;study02/study02_p09:target_t19_0:source_t8_1200;study02/study02_p15:target_t22_0:source_t12_400;study02/study02_p13:target_t8_1200:source_t9_800;study02/study02_p14:target_t4_1200:source_t3_800;study02/study02_p09:target_t2_1200:source_t1_400;study02/study02_p09:target_t4_0:source_t1_800
2258,1;60;226;19;217;13;66;168,study02/study02_p07:target_t1_1200:source_t25_800;study02/study02_p09:target_t21_0:source_t11_1200;study02/study02_p17:target_t23_0:source_t2_400;study02/study02_p07:target_t23_1200:source_t10_400;study02/study02_p17:target_t16_800:source_t24_0;study02/study02_p07:target_t20_800:source_t7_800;study02/study02_p09:target_t24_0:source_t14_400;study02/study02_p15:target_t16_400:source_t6_400
2259,34;87;210;80;236;101;119;73,study02/study02_p08:target_t11_0:source_t15_1200;study02/study02_p11:target_t1_800:source_t20_800;study02/study02_p17:target_t9_800:source_t21_400;study02/study02_p10:target_t14_800:source_t20_400;study02/study02_p18:target_t16_400:source_t12_800;study02/study02_p11:target_t21_1200:source_t4_400;study02/study02_p12:target_t18_0:source_t11_400;study02/study02_p10:target_t3_800:source_t17_400
2260,153;175;240;79;160;136;127;41,study02/study02_p15:target_t3_800:source_t0_800;study02/study02_p16:target_t0_400:source_t2_0;study02/study02_p18:target_t20_800:source_t13_800;study02/study02_p10:target_t14_400:source_t20_0;study02/study02_p15:target_t9_800:source_t4_400;study02/study02_p14:target_t1_800:source_t2_0;study02/study02_p13:target_t6_1200:source_t9_400;study02/study02_p09:target_t2_800:source_t1_0
2261,190;21;215;202;31;123;169;157,study02/study02_p16:target_t18_0:source_t8_0;study02/study02_p08:target_t0_400:source_t12_400;study02/study02_p17:target_t13_1200:source_t22_800;study02/study02_p17:target_t0_800:source_t15_0;study02/study02_p08:target_t8_800:source_t14_1200;study02/study02_p13:target_t4_0:source_t7_400;study02/study02_p15:target_t16_1200:source_t6_800;study02/study02_p15:target_t7_1200:source_t1_800
2262,95;221;233;124;166;114;9;207,study02/study02_p11:target_t11_1200:source_t2_800;study02/study02_p17:target_t18_1200:source_t25_400;study02/study02_p18:target_t10_0:source_t11_1200;study02/study02_p13:target_t4_400:source_t7_800;study02/study02_p15:target_t14_800:source_t5_1200;study02/study02_p12:target_t10_1200:source_t4_0;study02/study02_p07:target_t16_0:source_t4_1200;study02/study02_p17:target_t7_800:source_t19_800
2263,211,study02/study02_p17:target_t9_1200:source_t21_800
2264,128;69;70;163;175;30;172;109,study02/study02_p13:target_t8_1200:source_t9_800;study02/study02_p10:target_t2_400:source_t15_800;study02/study02_p10:target_t2_800:source_t15_1200;study02/study02_p15:target_t10_800:source_t5_0;study02/study02_p16:target_t0_400:source_t2_0;study02/study02_p08:target_t8_400:source_t14_800;study02/study02_p15:target_t22_0:source_t12_400;study02/study02_p12:target_t7_400:source_t1_1200
2265,236;199;197;147;185;171;94;3,study02/study02_p18:target_t16_400:source_t12_800;study02/study02_p16:target_t23_1200:source_t14_400;study02/study02_p16:target_t20_1200:source_t10_800;study02/study02_p14:target_t15_0:source_t13_400;study02/study02_p16:target_t11_1200:source_t5_800;study02/study02_p15:target_t17_400:source_t12_0;study02/study02_p11:target_t11_800:source_t2_400;study02/study02_p07:target_t2_800:source_t3_400
2266,173;89;121;87;208;57;75;43,study02/study02_p15:target_t22_400:source_t12_800;study02/study02_p11:target_t7_800:source_t0_0;study02/study02_p12:target_t19_0:source_t11_1200;study02/study02_p11:target_t1_800:source_t20_800;study02/study02_p17:target_t7_1200:source_t19_1200;study02/study02_p09:target_t19_400:source_t11_0;study02/study02_p10:target_t10_400:source_t17_1200;study02/study02_p09:target_t4_0:source_t1_800
2267,223;178;164;218;97;126;85;237,study02/study02_p17:target_t20_400:source_t25_1200;study02/study02_p16:target_t4_0:source_t2_1200;study02/study02_p15:target_t14_0:source_t5_400;study02/study02_p17:target_t16_1200:source_t24_400;study02/study02_p11:target_t14_1200:source_t3_400;study02/study02_p13:target_t6_800:source_t9_0;study02/study02_p11:target_t1_0:source_t20_0;study02/study02_p18:target_t16_800:source_t12_1200
2268,60;154;114;184;82;225;15;194,study02/study02_p09:target_t21_0:source_t11_1200;study02/study02_p15:target_t3_1200:source_t0_1200;study02/study02_p12:target_t10_1200:source_t4_0;study02/study02_p16:target_t11_800:source_t5_400;study02/study02_p10:target_t19_400:source_t21_0;study02/study02_p17:target_t20_1200:source_t2_0;study02/study02_p07:target_t22_0:source_t9_400;study02/study02_p16:target_t20_0:source_t9_0
2269,10;187;16;153;88;11;160;0,study02/study02_p07:target_t16_800:source_t5_800;study02/study02_p16:target_t15_400:source_t7_400;study02/study02_p07:target_t22_800:source_t9_800;study02/study02_p15:target_t3_800:source_t0_800;study02/study02_p11:target_t7_400:source_t20_1200;study02/study02_p07:target_t16_1200:source_t5_1200;study02/study02_p15:target_t9_800:source_t4_400;study02/study02_p07:target_t1_0:source_t25_400
2270,162;37;92;231;149;107;155;80,study02/study02_p15:target_t10_0:source_t4_1200;study02/study02_p08:target_t16_0:source_t17_800;study02/study02_p11:target_t8_1200:source_t0_1200;study02/study02_p18:target_t6_0:source_t11_400;study02/study02_p14:target_t15_800:source_t13_1200;study02/study02_p12:target_t6_0:source_t1_400;study02/study02_p15:target_t7_0:source_t1_0;study02/study02_p10:target_t14_800:source_t20_400
2271,22;138;25;136;99;206;67;176,study02/study02_p08:target_t0_800:source_t12_800;study02/study02_p14:target_t4_800:source_t3_400;study02/study02_p08:target_t2_1200:source_t13_400;study02/study02_p14:target_t1_800:source_t2_0;study02/study02_p11:target_t21_400:source_t3_1200;study02/study02_p17:target_t7_400:source_t19_400;study02/study02_p09:target_t24_1200:source_t14_800;study02/study02_p16:target_t0_800:source_t2_400
2272,83;108;192;31;204;116;14;222,study02/study02_p10:target_t19_800:source_t21_400;study02/study02_p12:target_t6_800:source_t1_800;study02/study02_p16:target_t18_800:source_t8_800;study02/study02_p08:target_t8_800:source_t14_1200;study02/study02_p17:target_t5_1200:source_t15_800;study02/study02_p12:target_t14_400:source_t4_800;study02/study02_p07:target_t20_1200:source_t9_0;study02/study02_p17:target_t20_0:source_t25_800
2273,28;143;42;196;182;148;119;32,study02/study02_p08:target_t7_800:source_t14_0;study02/study02_p14:target_t10_0:source_t8_400;study02/study02_p09:target_t2_1200:source_t1_400;study02/study02_p16:target_t20_800:source_t10_400;study02/study02_p16:target_t11_0:source_t3_1200;study02/study02_p14:target_t15_400:source_t13_800;study02/study02_p12:target_t18_0:source_t11_400;study02/study02_p08:target_t9_0:source_t15_400
2274,95;217;127;105;166;227;35;27,study02/study02_p11:target_t11_1200:source_t2_800;study02/study02_p17:target_t16_800:source_t24_0;study02/study02_p13:target_t6_1200:source_t9_400;study02/study02_p12:target_t2_800:source_t0_400;study02/study02_p15:target_t14_800:source_t5_1200;study02/study02_p17:target_t23_400:source_t2_800;study02/study02_p08:target_t11_400:source_t17_0;study02/study02_p08:target_t7_400:source_t13_1200
2275,34;238;189;132;65;221;135;100,study02/study02_p08:target_t11_0:source_t15_1200;study02/study02_p18:target_t16_1200:source_t13_0;study02/study02_p16:target_t15_1200:source_t7_1200;study02/study02_p13:target_t11_800:source_t12_800;study02/study02_p09:target_t22_1200:source_t14_0;study02/study02_p17:target_t18_1200:source_t25_400;study02/study02_p14:target_t1_0:source_t0_800;study02/study02_p11:target_t21_800:source_t4_0
2276,219;51;144;226;230;112;120;195,study02/study02_p17:target_t18_0:source_t24_800;study02/study02_p09:target_t7_1200:source_t6_800;study02/study02_p14:target_t10_400:source_t8_800;study02/study02_p17:target_t23_0:source_t2_400;study02/study02_p18:target_t0_800:source_t11_0;study02/study02_p12:target_t9_800:source_t3_800;study02/study02_p12:target_t18_1200:source_t11_800;study02/study02_p16:target_t20_400:source_t10_0
2277,124;40;215;91;140;229;6;55,study02/study02_p13:target_t4_400:source_t7_800;study02/study02_p09:target_t2_400:source_t0_1200;study02/study02_p17:target_t13_1200:source_t22_800;study02/study02_p11:target_t8_800:source_t0_800;study02/study02_p14:target_t5_0:source_t3_1200;study02/study02_p18:target_t0_400:source_t9_1200;study02/study02_p07:target_t6_400:source_t4_0;study02/study02_p09:target_t15_1200:source_t8_800
2278,139;73;79;48;13;152;23;216,study02/study02_p14:target_t4_1200:source_t3_800;study02/study02_p10:target_t3_800:source_t17_400;study02/study02_p10:target_t14_400:source_t20_0;study02/study02_p09:target_t5_800:source_t3_1200;study02/study02_p07:target_t20_800:source_t7_800;study02/study02_p14:target_t22_0:source_t14_800;study02/study02_p08:target_t0_1200:source_t12_1200;study02/study02_p17:target_t16_0:source_t22_1200
2279,7;12;168;96;66;142;78;179,study02/study02_p07:target_t6_800:source_t4_400;study02/study02_p07:target_t19_0:source_t7_0;study02/study02_p15:target_t16_400:source_t6_400;study02/study02_p11:target_t14_800:source_t2_1200;study02/study02_p09:target_t24_0:source_t14_400;study02/study02_p14:target_t5_800:source_t6_800;study02/study02_p10:target_t14_0:source_t18_1200;study02/study02_p16:target_t4_400:source_t3_0
2280,41;62;167;74;59;68;50;180,study02/study02_p09:target_t2_800:source_t1_0;study02/study02_p09:target_t21_800:source_t13_400;study02/study02_p15:target_t16_0:source_t6_0;study02/study02_p10:target_t10_0:source_t17_800;study02/study02_p09:target_t19_1200:source_t11_800;study02/study02_p10:target_t2_0:source_t13_800;study02/study02_p09:target_t7_800:source_t6_400;study02/study02_p16:target_t4_800:source_t3_400
2281,33;212;169;200;98;224;145;71,study02/study02_p08:target_t9_800:source_t15_800;study02/study02_p17:target_t13_0:source_t21_1200;study02/study02_p15:target_t16_1200:source_t6_800;study02/study02_p17:target_t0_0:source_t14_800;study02/study02_p11:target_t21_0:source_t3_800;study02/study02_p17:target_t20_800:source_t1_1200;study02/study02_p14:target_t10_800:source_t11_400;study02/study02_p10:target_t3_0:source_t16_800
2282,190;207;158;146;165;36;174;52,study02/study02_p16:target_t18_0:source_t8_0;study02/study02_p17:target_t7_800:source_t19_800;study02/study02_p15:target_t9_0:source_t1_1200;study02/study02_p14:target_t12_0:source_t13_0;study02/study02_p15:target_t14_400:source_t5_800;study02/study02_p08:target_t11_1200:source_t17_400;study02/study02_p16:target_t0_0:source_t1_1200;study02/study02_p09:target_t15_0:source_t6_1200
2283,90;21;61;211;131;202;170;54,study02/study02_p11:target_t8_0:source_t0_400;study02/study02_p08:target_t0_400:source_t12_400;study02/study02_p09:target_t21_400:source_t13_0;study02/study02_p17:target_t9_1200:source_t21_800;study02/study02_p13:target_t11_400:source_t12_400;study02/study02_p17:target_t0_800:source_t15_0;study02/study02_p15:target_t17_0:source_t6_1200;study02/study02_p09:target_t15_800:source_t8_400
2284,2;151;64;214;193;130;38;133,study02/study02_p07:target_t2_0:source_t3_0;study02/study02_p14:target_t19_1200:source_t14_400;study02/study02_p09:target_t22_0:source_t13_1200;study02/study02_p17:target_t13_800:source_t22_400;study02/study02_p16:target_t18_1200:source_t8_1200;study02/study02_p13:target_t11_0:source_t12_0;study02/study02_p08:target_t16_400:source_t17_1200;study02/study02_p13:target_t13_800:source_t12_1200
